,Unnamed: 0,Unnamed: 0_x,Area Code,Area Name,Total crimes,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary4,Non-residential burglary4,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Unnamed: 0_y,Sex,Area name,Year of death registration,Deaths (Q1),Rate (Q1),Lower CI (Q1),Upper CI (Q1),Deaths (Q2),Rate (Q2),Lower CI (Q2),Upper CI (Q2),Deaths (Q3),Rate (Q3),Lower CI (Q3),Upper CI (Q3),Deaths (Q4),Rate (Q4),Lower CI (Q4),Upper CI (Q4),Total Deaths
0,0,6,E92000001,ENGLAND ,4991827,1637476,665,510990,675571,449437,813,151919,89143,1861639,379967,266285,113682,452860,101969,81981,344890,499972,523153,166176,45734,416865,99722,25,Persons,England,2019,1551,11.8,11.2,12.4,1441,10.8,10.2,11.4,1409,10.4,9.9,11.0,1419,10.5,9.9,11.0,5820
1,1,7,E12000001,North East,283838,96787,27,25534,36726,34453,47,8478,1693,90280,17388,11674,5714,15650,2211,2853,26043,26135,40456,6399,2078,30777,6890,33,Persons,North East,2019,115,17.9,14.6,21.2,99,15.0,12.2,18.3,117,17.5,14.3,20.7,106,16.0,13.0,19.1,437
2,2,11,E12000002,North West,725853,249630,110,73193,105302,70892,133,21576,10305,238254,55704,39341,16363,54996,12012,8295,43534,63713,81968,22886,6865,79041,15328,41,Persons,North West,2019,246,14.2,12.4,16.0,261,14.9,13.1,16.7,255,14.3,12.6,16.1,251,14.1,12.4,15.9,1013
3,3,17,E12000003,Yorkshire and The Humber,587738,206900,62,59681,78841,68182,134,17693,6489,198771,49759,35469,14290,43811,6836,6024,43315,49026,66289,14069,4907,57625,14995,49,Persons,Yorkshire and The Humber,2019,219,16.9,14.7,19.2,179,13.6,11.6,15.6,169,12.8,10.9,14.8,163,12.4,10.5,14.3,730
4,4,22,E12000004,East Midlands,400663,136734,47,44898,56026,35682,81,13724,4331,143153,30803,20614,10189,33960,4513,6462,31839,35576,44920,13878,4060,30183,9680,57,Persons,East Midlands,2019,139,12.0,10.0,14.0,127,10.9,9.0,12.8,123,10.3,8.5,12.1,134,11.4,9.4,13.3,523
5,5,28,E12000005,West Midlands,466128,164486,73,57792,63091,43445,85,15434,10681,173980,40024,28933,11091,47898,4839,4782,35029,41408,48693,11133,5139,28527,8055,65,Persons,West Midlands,2019,181,13.3,11.4,15.3,160,11.5,9.7,13.3,167,11.8,10.0,13.6,163,11.6,9.8,13.4,671
6,6,33,E12000006,East,501948,173505,96,47058,77938,48274,139,16468,5424,176120,33220,23129,10091,43143,5548,12010,37406,44793,54240,16623,4728,43532,11308,73,Persons,East of England,2019,146,9.8,8.2,11.4,131,8.6,7.2,10.1,129,8.4,6.9,9.8,137,8.9,7.4,10.4,543
7,7,40,E12000007,London,921604,222308,149,77529,91201,53428,1,20087,39935,463080,80410,59142,21268,127196,54749,20360,46503,133862,56101,48408,7264,52906,11515,81,Persons,London,2019,152,8.8,7.3,10.2,124,6.8,5.6,8.1,136,7.3,6.0,8.5,167,8.9,7.5,10.3,579
8,8,43,E12000008,South East,724558,253456,65,78907,113399,60945,140,24852,6786,253205,47714,32926,14788,60522,7915,14505,53151,69398,82886,20583,7599,59260,15931,89,Persons,South East,2019,219,9.9,8.6,11.2,233,10.4,9.1,11.8,201,8.8,7.6,10.0,175,7.7,6.5,8.8,828
9,9,49,E12000009,South West,379497,133670,36,46398,53047,34136,53,13607,3499,124796,24945,15057,9888,25684,3346,6690,28070,36061,47600,12197,3094,35014,6020,97,Persons,South West,2019,134,9.5,7.9,11.2,127,9.0,7.4,10.6,112,7.8,6.3,9.2,123,8.5,7.0,10.0,496
10,10,55,W92000004,WALES,263688,99436,35,28768,36321,34265,47,9283,1120,74750,14818,10012,4806,14083,1715,2837,19640,21657,33388,9629,1641,28631,5810,105,Persons,Wales,2019,88,11.4,9.1,14.1,95,12.3,9.9,15.0,90,11.4,9.2,14.0,95,12.0,9.7,14.7,368
