,Unnamed: 0_x,Area Code,Area Name,Total recorded crime,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary4,Non-residential burglary4,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Unnamed: 0_y,Sex,Area name,Year of death registration,Deaths (Q1),Rate (Q1),Lower CI (Q1),Upper CI (Q1),Deaths (Q2),Rate (Q2),Lower CI (Q2),Upper CI (Q2),Deaths (Q3),Rate (Q3),Lower CI (Q3),Upper CI (Q3),Deaths (Q4),Rate (Q4),Lower CI (Q4),Upper CI (Q4),Total Deaths
0,5,E92000001,ENGLAND ,4518213,1679268,605,464523,663086,550355,699,142205,66316,1385486,288397,208847,79550,359407,60312,75690,244387,357293,465681,190034,43230,441759,104234,24,Persons,England,2020,1684,12.6,12.0,13.2,1702,12.7,12.1,13.3,1735,12.8,12.2,13.4,1853,13.6,13.0,14.2,6974
1,6,E12000001,North East,256691,96285,25,23199,33656,39374,31,7681,1421,67312,14202,10369,3833,12658,1521,2807,16321,19803,37298,7245,1994,29985,7470,32,Persons,North East,2020,96,14.9,12.0,18.2,147,22.8,19.1,26.5,139,21.3,17.7,24.8,139,21.1,17.6,24.7,521
2,10,E12000002,North West,647662,247633,109,64664,98992,83716,152,20021,7505,176848,43912,32395,11517,41408,6751,7803,31269,45705,72740,26955,6618,73499,15843,40,Persons,North West,2020,298,16.9,15.0,18.9,293,16.7,14.8,18.6,298,16.8,14.9,18.8,321,18.2,16.2,20.2,1210
3,16,E12000003,Yorkshire and The Humber,526110,203791,44,52707,73843,77076,121,16335,5018,141119,35787,26264,9523,31576,3513,4978,28740,36525,59527,17046,4852,62967,15455,48,Persons,Yorkshire and The Humber,2020,193,14.7,12.6,16.8,197,15.1,13.0,17.3,199,15.2,13.0,17.3,211,16.0,13.8,18.1,800
4,21,E12000004,East Midlands,371138,143263,53,43669,50649,48838,54,12917,3492,105205,22344,15761,6583,24502,2621,5323,22432,27983,41480,14114,3834,36732,10101,56,Persons,East Midlands,2020,156,13.2,11.1,15.3,134,11.4,9.4,13.3,154,12.8,10.8,14.9,168,13.9,11.8,16.0,612
5,27,E12000005,West Midlands,453323,192567,99,55510,72426,64482,50,15349,8415,135766,31585,23357,8228,39401,3093,4359,24664,32664,38386,11605,5248,36526,9461,64,Persons,West Midlands,2020,226,16.3,14.2,18.4,208,15.0,13.0,17.1,213,15.2,13.2,17.3,246,17.4,15.2,19.6,893
6,32,E12000006,East,460405,181921,51,43745,79025,58966,134,15377,3968,130962,24814,17353,7461,33388,3501,9031,26179,34049,47941,18889,3813,46145,11389,72,Persons,East of England,2020,146,9.5,8.0,11.1,137,9.0,7.4,10.5,136,8.7,7.2,10.2,149,9.6,8.1,11.1,568
7,39,E12000007,London,794306,220612,119,69186,90331,60976,0,18817,27663,347211,61477,46635,14842,109995,31925,24251,35712,83851,51424,55323,6520,55275,11461,80,Persons,London,2020,174,9.4,7.9,10.8,193,10.6,9.0,12.1,169,9.0,7.6,10.4,199,10.6,9.1,12.1,735
8,42,E12000008,South East,663312,259492,59,70639,111052,77636,106,22988,5597,186882,35421,24885,10536,45489,5454,11313,39506,49699,74139,25814,7383,64524,16493,88,Persons,South East,2020,248,11.0,9.7,12.4,230,10.3,8.9,11.6,240,10.6,9.2,11.9,268,11.8,10.3,13.2,986
9,48,E12000009,South West,345266,133704,46,41204,53112,39291,51,12720,3237,94181,18855,11828,7027,20990,1933,5825,19564,27014,42746,13043,2968,36106,6561,96,Persons,South West,2020,147,10.4,8.7,12.1,163,11.5,9.7,13.3,187,13.1,11.3,15.0,152,10.6,8.9,12.3,649
10,54,W92000004,WALES,238049,96193,17,24890,32803,38449,34,7895,984,55855,11469,7902,3567,10949,1168,2327,13351,16591,28624,10808,1602,30358,5730,104,Persons,Wales,2020,123,15.7,12.9,18.5,107,13.8,11.2,16.5,100,12.4,9.9,14.8,108,13.7,11.1,16.3,438
